d_model,t_nhead,s_nhead,dropout,lr,accuracy,precision,recall,f1
128,2,1,0.5,0.0001,0.5933727512630701,0.4437375850064626,0.37702396185757814,0.33874794277034487
128,2,1,0.5,0.0002,0.5955342668422461,0.4391308867981614,0.3690091809674913,0.32677237508730733
128,2,1,0.6,5e-05,0.5947997712570892,0.4520415417962023,0.37923094392473117,0.34335838860007944
128,2,1,0.6,0.0001,0.5973862449962488,0.46251084310534707,0.36980946172873747,0.32364973481821857
128,2,1,0.6,0.0002,0.5946948433163525,0.32544634298741854,0.3650082995666733,0.314559629099369
